id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image,product_type_label,selection_reason
1233975,89512,周大福传承藏蕴传承八宝罗盘足金黄金吊坠项链F227813礼物,https://img.alicdn.com/bao/uploaded/O1CN01eYeFXu1yw5eqyqd00_!!6000000006642-0-yinhe.jpg,周大福传承,27500.22,1件9.8折,黄金,1,hedonic,典型珠宝礼品类商品，主要依赖审美、象征和赠礼价值评价
98323,null,【618即刻抢购】TF香水白麝香 暗麝心魄 男女士香水礼物 官方正品,https://img.alicdn.com/bao/uploaded/O1CN01e6iNkz26DDa4RxE1g_!!6000000007627-0-yinhe.jpg,Tom Ford/汤姆福特,620,,彩妆/香水/美妆工具,1,hedonic,典型香水商品，主要依赖感官愉悦、情绪体验和自我表达评价
497364,102386,【新品】COACH/蔻驰奥莱女士经典标志老花迷你水桶包斜挎包黑色,https://img.alicdn.com/bao/uploaded/O1CN017VqWk225UnN5J7F77_!!6000000007530-0-yinhe.jpg,COACH/蔻驰,1688,,箱包皮具/热销女包/男包,1,hedonic,典型时尚包袋商品，主要依赖风格、身份象征和搭配价值评价
1537759,102386,[礼物][经典款]JIMMY CHOO/LOVE 女士闪粉尖头浅口婚鞋单鞋JC,https://img.alicdn.com/bao/uploaded/O1CN01FLMETU1YOUdTYEROd_!!6000000003049-0-yinhe.jpg,Jimmy Choo,5790,,女鞋,1,hedonic,典型高跟鞋商品，主要依赖美感、场合感和自我呈现价值评价
496613,102386,【甄选折扣】GANNI女装 方领印花吊带蛋糕裙迷笛连衣裙 F9366694,https://img.alicdn.com/bao/uploaded/O1CN01xzXSBY1q5PBTryP0O_!!6000000005444-0-yinhe.jpg,Ganni,895,,女装/女士精品,1,hedonic,典型时装商品，主要依赖审美、风格和生活方式表达评价
1552914,104460,美的电热水壶1.7L大容量家用烧水热水壶304不锈钢自动断电电水壶,https://img.alicdn.com/bao/uploaded/O1CN01PshbPj1VE0hzBishX_!!6000000002620-0-yinhe.jpg,Midea/美的,62.8,,厨房电器,1,utilitarian,典型家用功能性商品，主要依赖效率、安全和日常实用性评价
39727,"1,002,006,110,046",鱼跃电子血压计充电血压测量仪家用高精准测压仪器正品官方旗舰店,https://img.alicdn.com/bao/uploaded/O1CN01jL3f8X1iaX2jbcQxg_!!6000000004429-0-yinhe.jpg,鱼跃,90,满118减10,医疗器械,1,utilitarian,典型健康监测商品，主要依赖准确性、可靠性和问题解决价值评价
1539090,"10,239,480,548",维达抽纸纸巾150抽24包S号整箱实惠装餐巾纸抽卫生纸面巾纸擦手纸,https://img.alicdn.com/bao/uploaded/bao/upload/O1CN011Q8OxA1EomjB5VQgb_!!6000000000399-2-yinhe.png,Vinda/维达,67.9,满29减2,洗护清洁剂/卫生巾/纸/香薰,1,utilitarian,典型日用消耗品，主要依赖必要性、方便性和基础功能评价
65159,null,惠普178nw彩色激光多功能打印机一体机手机无线wifi可连接网络A4复印扫描家用商务商用办公专用三合一179fnw,https://img.alicdn.com/bao/uploaded/O1CN01MbDWrx1xjtDm3FdKH_!!6000000006480-0-yinhe.jpg,HP/惠普,3299,1件8折,办公设备/耗材/相关服务,1,utilitarian,典型办公设备，主要依赖任务完成、连接能力和效率评价
497385,102386,[129W升级款]海尔超薄洗烘套装10kg家用滚筒洗衣机热泵烘干机519W,https://img.alicdn.com/bao/uploaded/O1CN01aCsE1P1CKtzE4wxQ2_!!6000000000063-0-yinhe.jpg,Haier/海尔,3899,补贴300元,大家电,1,utilitarian,典型大家电商品，主要依赖清洁效率、容量和耐用性评价
