id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image,product_group,product_group_cn,expected_best_image_route,selection_reason
1539090,"10,239,480,548",维达抽纸纸巾150抽24包S号整箱实惠装餐巾纸抽卫生纸面巾纸擦手纸,https://img.alicdn.com/bao/uploaded/bao/upload/O1CN011Q8OxA1EomjB5VQgb_!!6000000000399-2-yinhe.png,Vinda/维达,67.9,满29减2,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,典型高频刚需消耗品，核心评价维度是是否好用方便
1564218,102386,佳帮手2025新款免手洗平板拖把家用一拖净干湿两用地拖布拖地神器,https://img.alicdn.com/bao/uploaded/O1CN01TdxH6o1ypgANvUOmr_!!6000000006628-0-yinhe.jpg,佳帮手,29.7,,家庭/个人清洁工具,1,strict_utilitarian,严格实用型,functional,典型清洁工具，主要依赖效率和省力程度评价
497385,102386,[129W升级款]海尔超薄洗烘套装10kg家用滚筒洗衣机热泵烘干机519W,https://img.alicdn.com/bao/uploaded/O1CN01aCsE1P1CKtzE4wxQ2_!!6000000000063-0-yinhe.jpg,Haier/海尔,3899,补贴300元,大家电,1,strict_utilitarian,严格实用型,functional,典型大家电，购买决策主要围绕性能容量和耐用性
65159,null,惠普178nw彩色激光多功能打印机一体机手机无线wifi可连接网络A4复印扫描家用商务商用办公专用三合一179fnw,https://img.alicdn.com/bao/uploaded/O1CN01MbDWrx1xjtDm3FdKH_!!6000000006480-0-yinhe.jpg,HP/惠普,3299,1件8折,办公设备/耗材/相关服务,1,strict_utilitarian,严格实用型,functional,任务完成和连接能力是核心利益点
497408,"6,102,386",美的电饭煲家用青瓷飞快奶油电饭锅5升容量快煮不粘4-8人官方正品,https://img.alicdn.com/bao/uploaded/O1CN01TvhkpJ1sjpP2aSOpg_!!6000000005803-0-yinhe.jpg,Midea/美的,289,官方立减160元,厨房电器,1,strict_utilitarian,严格实用型,functional,以烹饪效率和日常实用性为主导的厨房小家电
1235015,104460,乐高迪士尼公主仙蒂瑞拉的城堡43206儿童拼插积木玩具生日礼物,https://img.alicdn.com/bao/uploaded/O1CN01VZF6OO24tEgwwwJXN_!!6000000007448-0-yinhe.jpg,LEGO/乐高,749,,玩具/童车/益智/积木/模型,1,experiential_affective_hedonic,体验情感享乐型,experiential,主要价值来自创造乐趣沉浸体验和想象空间
1554241,104460,Lotus Biscoff比时咔和情比利时进口焦糖饼干伴手礼休闲零食曲奇,https://img.alicdn.com/bao/uploaded/O1CN01XkiqN11t7BTGrGh5p_!!6000000005854-0-yinhe.jpg,天猫超市,55.8,,零食/坚果/特产,1,experiential_affective_hedonic,体验情感享乐型,experiential,典型口感驱动商品，强调风味与即时愉悦
1233054,102386,Joyflower永生真花玫瑰繁花束家居摆件装饰高级新婚结婚礼物女友,https://img.alicdn.com/bao/uploaded/O1CN013uVMz21SgSPEEZjQ9_!!6000000002276-0-yinhe.jpg,joyflower,513.44,补贴99.56元,鲜花速递/花卉仿真/绿植园艺,1,experiential_affective_hedonic,体验情感享乐型,experiential,主要通过视觉美感和情绪唤起创造价值
1552928,104460,爱之湾莫斯卡托桃红甜起泡葡萄酒正品进口气泡酒果酒小甜水,https://img.alicdn.com/bao/uploaded/O1CN01ORiVxh1nFzZCAkHw5_!!6000000005061-0-yinhe.jpg,爱之湾,78,,酒类,1,experiential_affective_hedonic,体验情感享乐型,experiential,更偏口感氛围和微醺体验而非功能用途
1546622,102386,【七夕礼物】Rituals怡式无火藤条香薰礼盒家居摆件礼物室内扩香,https://img.alicdn.com/bao/uploaded/O1CN01zAqTw21IewwQi5Mqy_!!6000000000919-0-yinhe.jpg,rituals,335,,家居饰品,1,experiential_affective_hedonic,体验情感享乐型,experiential,核心利益是空间气味氛围和情绪调节
1247431,89512,周生生东方古祖宝相花花开富贵古法黄金足金手镯94562K计价,https://img.alicdn.com/bao/uploaded/O1CN01aGSsqe1FmKTujR9b2_!!6000000000529-0-yinhe.jpg,周生生官方旗舰店,24291.5,1件9.5折,黄金,1,symbolic_aesthetic_hedonic,象征审美享乐型,symbolic,典型高审美高象征价值商品，身份表达显著
1547419,102386,【七夕臻礼】Chloe蔻依 25春夏新品CHLOE SPIN中号小牛皮托特包,https://img.alicdn.com/bao/uploaded/O1CN01dHtZvU1Z7poi8aToI_!!6000000003148-0-yinhe.jpg,Chloe/蔻依,11500,,箱包皮具/热销女包/男包,1,symbolic_aesthetic_hedonic,象征审美享乐型,symbolic,主要通过风格品位和生活方式信号来被评价
1561907,102386,天猫限定独家Chopard萧邦快乐钻石蓝色机械腕表手表限量礼物,https://img.alicdn.com/bao/uploaded/O1CN01g6uWgD1fVXmYyiSa6_!!6000000004012-0-yinhe.jpg,Chopard/萧邦,94000,,手表,1,symbolic_aesthetic_hedonic,象征审美享乐型,symbolic,强烈依赖奢侈属性审美稀缺性和身份象征
1564031,102386,JIL SANDER 秋冬女士 双面羊毛皮外套,https://img.alicdn.com/bao/uploaded/O1CN01pdiPjv1wu8lGoeDqS_!!6000000006367-0-yinhe.jpg,Jil Sander,73400,,女装/女士精品,1,symbolic_aesthetic_hedonic,象征审美享乐型,symbolic,典型时装型商品，审美表达和风格身份是评价核心
1564055,102386,【超级88】BVLGARI宝格丽大吉岭茶淡香水 清新木质香送男友,https://img.alicdn.com/bao/uploaded/O1CN01w5LY4a1kXuC6byxwQ_!!6000000004694-0-yinhe.jpg,Bvlgari/宝格丽,550,,彩妆/香水/美妆工具,1,symbolic_aesthetic_hedonic,象征审美享乐型,symbolic,虽然带明显感官属性，但品牌和送礼语境也使其带有较强象征表达
