id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image,product_group,product_group_cn,concrete_subtype,expected_best_image_route,selection_reason
1552914,104460,美的电热水壶1.7L大容量家用烧水热水壶304不锈钢自动断电电水壶,https://img.alicdn.com/bao/uploaded/O1CN01PshbPj1VE0hzBishX_!!6000000002620-0-yinhe.jpg,Midea/美的,62.8,,厨房电器,1,strict_utilitarian,严格实用型,小家电-烧水壶,functional,主要依据烧水效率与安全性评价，身份表达和感官体验都较弱
39727,"1,002,006,110,046",鱼跃电子血压计充电血压测量仪家用高精准测压仪器正品官方旗舰店,https://img.alicdn.com/bao/uploaded/O1CN01jL3f8X1iaX2jbcQxg_!!6000000004429-0-yinhe.jpg,鱼跃,90,满118减10,医疗器械,1,strict_utilitarian,严格实用型,健康监测-电子血压计,functional,主要依据准确性与健康问题解决价值评价，任务导向非常明确
1539090,"10,239,480,548",维达抽纸纸巾150抽24包S号整箱实惠装餐巾纸抽卫生纸面巾纸擦手纸,https://img.alicdn.com/bao/uploaded/bao/upload/O1CN011Q8OxA1EomjB5VQgb_!!6000000000399-2-yinhe.png,Vinda/维达,67.9,满29减2,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,日用消耗品-抽纸,functional,高频刚需消耗品，消费者更关心是否好用方便而不是表达自我
65159,null,惠普178nw彩色激光多功能打印机一体机手机无线wifi可连接网络A4复印扫描家用商务商用办公专用三合一179fnw,https://img.alicdn.com/bao/uploaded/O1CN01MbDWrx1xjtDm3FdKH_!!6000000006480-0-yinhe.jpg,HP/惠普,3299,1件8折,办公设备/耗材/相关服务,1,strict_utilitarian,严格实用型,办公设备-打印机,functional,核心价值是连接能力与任务完成效率，天然适合功能线索表达
497385,102386,[129W升级款]海尔超薄洗烘套装10kg家用滚筒洗衣机热泵烘干机519W,https://img.alicdn.com/bao/uploaded/O1CN01aCsE1P1CKtzE4wxQ2_!!6000000000063-0-yinhe.jpg,Haier/海尔,3899,补贴300元,大家电,1,strict_utilitarian,严格实用型,大家电-洗烘套装,functional,消费者主要看清洁能力、容量和耐用性，功能利益远强于象征意义
98323,null,【618即刻抢购】TF香水白麝香 暗麝心魄 男女士香水礼物 官方正品,https://img.alicdn.com/bao/uploaded/O1CN01e6iNkz26DDa4RxE1g_!!6000000007627-0-yinhe.jpg,Tom Ford/汤姆福特,620,,彩妆/香水/美妆工具,1,experiential_hedonic,体验享乐型,香氛-香水,experiential,主要由气味联想、氛围和情绪唤起驱动，是最接近感官体验的享乐商品之一
1544271,104460,【26年10月到期】雀巢绝对深黑黑咖啡即溶速溶深烘美式咖啡/健身,https://img.alicdn.com/bao/uploaded/O1CN01jPQoxl1gZ2fMcnAez_!!6000000004155-2-yinhe.png,Nestle/雀巢,99,,咖啡/麦片/冲饮,1,experiential_hedonic,体验享乐型,饮品-黑咖啡,experiential,核心卖点是风味、香气和饮用仪式感，适合测试氛围型与感官型图片
496173,102386,好吃点香脆巧克力味饼干638g*1盒酥脆可口小零嘴点心,https://img.alicdn.com/bao/uploaded/i1/725677994/O1CN01yVWuHi28vJ4TMeIOm_!!2-item_pic.png,好吃点,17.9,,零食/坚果/特产,1,experiential_hedonic,体验享乐型,休闲食品-巧克力饼干,experiential,评价重点是口感、放松和即时愉悦，功能性和身份性都较弱
1233054,102386,Joyflower永生真花玫瑰繁花束家居摆件装饰高级新婚结婚礼物女友,https://img.alicdn.com/bao/uploaded/O1CN013uVMz21SgSPEEZjQ9_!!6000000002276-0-yinhe.jpg,joyflower,513.44,补贴99.56元,鲜花速递/花卉仿真/绿植园艺,1,experiential_hedonic,体验享乐型,花艺-永生玫瑰花束,experiential,主要通过视觉审美、情绪唤起和场景氛围创造价值，适合体验型表达
1235015,104460,乐高迪士尼公主仙蒂瑞拉的城堡43206儿童拼插积木玩具生日礼物,https://img.alicdn.com/bao/uploaded/O1CN01VZF6OO24tEgwwwJXN_!!6000000007448-0-yinhe.jpg,LEGO/乐高,749,,玩具/童车/益智/积木/模型,1,experiential_hedonic,体验享乐型,创意玩具-拼插积木,experiential,购买动机更多来自创造乐趣、沉浸体验和想象空间，而非问题解决
1562757,102386,Apple/苹果 iPhone 16 手机支持移动联通电信5G官方正品官网全网通国行全新双卡双待手机,https://img.alicdn.com/bao/uploaded/O1CN01ZoIq8D1svjivRLXe0_!!6000000005829-0-yinhe.jpg,Apple/苹果,5649,限时优惠350元,手机,1,mixed_symbolic,混合表达型,消费电子-智能手机,symbolic,既有明确功能价值又有强展示性和身份信号，是检验 symbolic 路线的核心样本
1562462,102386,【政府补贴15%】华为手表WATCH GT5 智能手表运动蓝牙电话手表2025新款gt5pro女士腕表官方旗舰店正品新款gt5,https://img.alicdn.com/bao/uploaded/O1CN01j6sFMd1V6E04hNMV5_!!6000000002603-0-yinhe.jpg,Huawei/华为,1058,1件减100元,智能设备,1,mixed_symbolic,混合表达型,可穿戴设备-智能手表,symbolic,同时包含健康监测和时尚佩戴属性，既能强调功能也能强调自我形象
13862,110046,Sony/索尼ZV-E10L 半画幅微单相机 Vlog相机 美肤拍照,https://img.alicdn.com/bao/uploaded/O1CN0183leLI1eN10jRVhMd_!!6000000003858-0-yinhe.jpg,Sony/索尼,4433,,数码相机/单反相机/摄像机,1,mixed_symbolic,混合表达型,影像设备-Vlog相机,symbolic,可被理解为创作工具、审美媒介和身份符号三者结合，最适合比较三种图片概念的拉动方向
1561087,102386,[新品]Onitsuka Tiger鬼塚虎TOKUTEN女款板鞋休闲复古德训鞋,https://img.alicdn.com/bao/uploaded/O1CN010yzMvA29TevYoQChR_!!6000000008069-2-yinhe.png,Onitsuka Tiger/鬼塚虎,800,满600减50,运动鞋new,1,mixed_symbolic,混合表达型,穿戴-复古运动鞋,symbolic,兼具穿着功能与风格表达，公开展示性强，适合检验 symbolic 图像是否更占优
1542589,102386,KAILAS凯乐石博格达冲锋衣防风防水轻量户外运动徒步登山服外套女,https://img.alicdn.com/bao/uploaded/O1CN018TVfe61K3Vs4ZFrm8_!!6000000001108-0-yinhe.jpg,Kailas/凯乐石,2100,,户外/登山/野营/旅行用品,1,mixed_symbolic,混合表达型,户外装备-冲锋衣,symbolic,既能传达防风防水等实用性能，也能传达户外生活方式和群体认同
