id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image,product_group,product_group_cn,expected_best_image_route,selection_reason
1539090,"10,239,480,548",维达抽纸纸巾150抽24包S号整箱实惠装餐巾纸抽卫生纸面巾纸擦手纸,https://img.alicdn.com/bao/uploaded/bao/upload/O1CN011Q8OxA1EomjB5VQgb_!!6000000000399-2-yinhe.png,Vinda/维达,67.9,满29减2,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,典型高频刚需消耗品，核心评价维度是是否好用方便
1564218,102386,佳帮手2025新款免手洗平板拖把家用一拖净干湿两用地拖布拖地神器,https://img.alicdn.com/bao/uploaded/O1CN01TdxH6o1ypgANvUOmr_!!6000000006628-0-yinhe.jpg,佳帮手,29.7,,家庭/个人清洁工具,1,strict_utilitarian,严格实用型,functional,典型清洁工具，主要依赖效率和省力程度评价
497385,102386,[129W升级款]海尔超薄洗烘套装10kg家用滚筒洗衣机热泵烘干机519W,https://img.alicdn.com/bao/uploaded/O1CN01aCsE1P1CKtzE4wxQ2_!!6000000000063-0-yinhe.jpg,Haier/海尔,3899,补贴300元,大家电,1,strict_utilitarian,严格实用型,functional,典型大家电，购买决策主要围绕性能容量和耐用性
65159,null,惠普178nw彩色激光多功能打印机一体机手机无线wifi可连接网络A4复印扫描家用商务商用办公专用三合一179fnw,https://img.alicdn.com/bao/uploaded/O1CN01MbDWrx1xjtDm3FdKH_!!6000000006480-0-yinhe.jpg,HP/惠普,3299,1件8折,办公设备/耗材/相关服务,1,strict_utilitarian,严格实用型,functional,任务完成和连接能力是核心利益点
497408,"6,102,386",美的电饭煲家用青瓷飞快奶油电饭锅5升容量快煮不粘4-8人官方正品,https://img.alicdn.com/bao/uploaded/O1CN01TvhkpJ1sjpP2aSOpg_!!6000000005803-0-yinhe.jpg,Midea/美的,289,官方立减160元,厨房电器,1,strict_utilitarian,严格实用型,functional,以烹饪效率和日常实用性为主导的厨房小家电
1235015,104460,乐高迪士尼公主仙蒂瑞拉的城堡43206儿童拼插积木玩具生日礼物,https://img.alicdn.com/bao/uploaded/O1CN01VZF6OO24tEgwwwJXN_!!6000000007448-0-yinhe.jpg,LEGO/乐高,749,,玩具/童车/益智/积木/模型,1,hedonic,享乐型,experiential,典型娱乐/创造体验商品，核心价值来自拼搭乐趣、沉浸体验和想象空间
1554241,104460,Lotus Biscoff比时咔和情比利时进口焦糖饼干伴手礼休闲零食曲奇,https://img.alicdn.com/bao/uploaded/O1CN01XkiqN11t7BTGrGh5p_!!6000000005854-0-yinhe.jpg,天猫超市,55.8,,零食/坚果/特产,1,hedonic,享乐型,experiential,典型口味享乐商品，核心价值来自风味、甜点氛围和即时愉悦
1233054,102386,Joyflower永生真花玫瑰繁花束家居摆件装饰高级新婚结婚礼物女友,https://img.alicdn.com/bao/uploaded/O1CN013uVMz21SgSPEEZjQ9_!!6000000002276-0-yinhe.jpg,joyflower,513.44,补贴99.56元,鲜花速递/花卉仿真/绿植园艺,1,hedonic,享乐型,experiential,典型审美/情绪享乐商品，核心价值来自视觉美感、装饰性和情绪唤起
1552928,104460,爱之湾莫斯卡托桃红甜起泡葡萄酒正品进口气泡酒果酒小甜水,https://img.alicdn.com/bao/uploaded/O1CN01ORiVxh1nFzZCAkHw5_!!6000000005061-0-yinhe.jpg,爱之湾,78,,酒类,1,hedonic,享乐型,experiential,典型饮用享乐商品，核心价值来自口感、微醺氛围和社交放松体验
1546622,102386,【七夕礼物】Rituals怡式无火藤条香薰礼盒家居摆件礼物室内扩香,https://img.alicdn.com/bao/uploaded/O1CN01zAqTw21IewwQi5Mqy_!!6000000000919-0-yinhe.jpg,rituals,335,,家居饰品,1,hedonic,享乐型,experiential,典型气味/空间氛围享乐商品，核心价值来自香气、家居氛围和情绪调节
48100,null,九号Ninebot电动滑板车E2Pro高配成人通勤代步轻便可折叠两轮车,https://img.alicdn.com/bao/uploaded/O1CN01UaqKrg1etzaS0NQOV_!!6000000003930-0-yinhe.jpg,Ninebot,1899,1件减1000元,电动车/配件/交通工具,1,symbolic_group_identity,群体符号型,symbolic,成人电动滑板车，一眼指向城市轻出行/潮流通勤群体，具备明显群体身份信号
1562849,102386,迪卡侬ST520山地自行车男女款成人变速学生12-18岁单车轻便车OVMC,https://img.alicdn.com/bao/uploaded/O1CN017eQRgo1uS5GTxVwv6_!!6000000006035-0-yinhe.jpg,Decathlon/迪卡侬,2149.9,满600减50,自行车/骑行装备/零配件,1,symbolic_group_identity,群体符号型,symbolic,山地自行车，直接指向骑行/户外运动群体，适合表达社群归属和生活方式身份
323020,"689,512",HEAD海德男女双板滑雪板新手初级入门全地域V2,https://img.alicdn.com/bao/uploaded/O1CN01ydfJHu1iDB1lOFwZM_!!6000000004378-0-yinhe.jpg,HEAD/海德,3130,官方8.5折,户外/登山/野营/旅行用品,1,symbolic_group_identity,群体符号型,symbolic,滑雪板，强烈指向滑雪/雪季运动群体，身份和圈层属性明显
1544158,80548,漫步者G3头戴式耳机电竞游戏专用电脑耳麦有线带麦吃鸡听声辩位,https://img.alicdn.com/bao/uploaded/O1CN01zFzJ1P1lANKLx7rbg_!!6000000004778-0-yinhe.jpg,Edifier/漫步者,194,满99减5,影音电器,1,symbolic_group_identity,群体符号型,symbolic,电竞游戏耳机，直接指向电竞玩家/游戏群体，使用场景和身份符号清晰
