id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image,candidate_group,candidate_group_cn,expected_best_image_route,candidate_score,selection_reason,source_table
57545,null,Fender 芬德  American Professional美专二代Strat电吉他芬达,https://img.alicdn.com/bao/uploaded/O1CN01T4jLhP1WYRwZqN1lM_!!6000000002800-0-yinhe.jpg,Fender/芬德,13855,官方8.5折,乐器/吉他/钢琴/配件,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
1562711,102386,【晒单返20/国家补贴15%】Apple/苹果 iPad 11 A16芯片2025新款11代平板电脑学习官方正品旗舰 国家补贴,https://img.alicdn.com/bao/uploaded/O1CN01ThpEs71f96f0lcakM_!!6000000003963-0-yinhe.jpg,Apple/苹果,4599,满4899减300,平板电脑/MID,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
1563108,102386,【国补可叠加教育优惠】Apple/苹果 iPad mini 7代 (A17 Pro)  8.3英寸 2024年新款平板电脑 绘图 网课,https://img.alicdn.com/bao/uploaded/O1CN01DoumlJ1L08ZpC7O3u_!!6000000001236-0-yinhe.jpg,Apple/苹果,3999,,平板电脑/MID,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
14405,110046,【政府补贴15%】Huawei/华为 MatePad Pro 11 平板电脑 超轻薄设计 120Hz OLED原色全面屏,https://img.alicdn.com/bao/uploaded/O1CN01UQ0uUg1yjGcEP9jNo_!!6000000006614-0-yinhe.jpg,Huawei/华为,3299,直降1400元,平板电脑/MID,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
1563562,102386,【国补平板   直播间限时抢红包】vivo iQOO Pad5 Pro平板电脑新款天玑9400+开学好物13英寸电竞游戏天猫校园,https://img.alicdn.com/bao/uploaded/O1CN01b6rRqa1HyMCxgmro7_!!6000000000826-0-yinhe.jpg,vivo,3799,,平板电脑/MID,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
1565170,102386,【全国国补】SONY/索尼WH-1000XM6 双芯超旗舰降噪头戴式蓝牙耳机,https://img.alicdn.com/bao/uploaded/O1CN0192t0pu29iJaDQsILe_!!6000000008101-0-yinhe.jpg,Sony/索尼,3299,满3499减200,影音电器,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
108916,null,【春夏新品】AIGLE艾高GORE-TEX防风防雨透汽收腰冲锋衣外套女士,https://img.alicdn.com/bao/uploaded/O1CN01XGQgxq1NLmWI1DSzH_!!6000000001554-0-yinhe.jpg,AIGLE/艾高,3090,1件9.6折,户外/登山/野营/旅行用品,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
1562080,102386,AIGLE艾高女士外套GORE-TEX冲锋衣功能面料风衣夹克25年秋季新品,https://img.alicdn.com/bao/uploaded/O1CN01Riobgy1VwtaI7LCxh_!!6000000002718-0-yinhe.jpg,AIGLE/艾高,3278,1件9.8折,户外/登山/野营/旅行用品,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
78658,null,AIGLE艾高春季GORE-TEX防风透汽收腰女冲锋衣夹克外套,https://img.alicdn.com/bao/uploaded/O1CN01GOOVrX1vqeAZN4b56_!!6000000006224-0-yinhe.jpg,AIGLE/艾高,3220,1件9折,户外/登山/野营/旅行用品,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
101640,null,ATOMIC阿托米克滑雪双板2425新品专业大回转竞技比赛滑雪板G9 FIS,https://img.alicdn.com/bao/uploaded/O1CN01VwZH2m22ksQulbI9p_!!6000000007159-0-yinhe.jpg,ATOMIC,5278.5,1件7.5折,户外/登山/野营/旅行用品,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
