id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image,candidate_group,candidate_group_cn,expected_best_image_route,candidate_score,selection_reason,source_table
1562711,102386,【晒单返20/国家补贴15%】Apple/苹果 iPad 11 A16芯片2025新款11代平板电脑学习官方正品旗舰 国家补贴,https://img.alicdn.com/bao/uploaded/O1CN01ThpEs71f96f0lcakM_!!6000000003963-0-yinhe.jpg,Apple/苹果,4599,满4899减300,平板电脑/MID,1,utilitarian_symbolic,实用+symbolic,symbolic,90,工具/科技/创作相关品类；产品可标记专业、创作、技术或玩家身份；标题含专业/旗舰/创作身份线索,raw_catalog
1563108,102386,【国补可叠加教育优惠】Apple/苹果 iPad mini 7代 (A17 Pro)  8.3英寸 2024年新款平板电脑 绘图 网课,https://img.alicdn.com/bao/uploaded/O1CN01DoumlJ1L08ZpC7O3u_!!6000000001236-0-yinhe.jpg,Apple/苹果,3999,,平板电脑/MID,1,utilitarian_symbolic,实用+symbolic,symbolic,90,工具/科技/创作相关品类；产品可标记专业、创作、技术或玩家身份；标题含专业/旗舰/创作身份线索,raw_catalog
14405,110046,【政府补贴15%】Huawei/华为 MatePad Pro 11 平板电脑 超轻薄设计 120Hz OLED原色全面屏,https://img.alicdn.com/bao/uploaded/O1CN01UQ0uUg1yjGcEP9jNo_!!6000000006614-0-yinhe.jpg,Huawei/华为,3299,直降1400元,平板电脑/MID,1,utilitarian_symbolic,实用+symbolic,symbolic,90,工具/科技/创作相关品类；产品可标记专业、创作、技术或玩家身份；标题含专业/旗舰/创作身份线索,raw_catalog
1562606,102386,【晒单返30/国家补贴15%】Apple/苹果 iPhone 16 Plus手机 A18芯片原封国行官方旗舰店苹果手机 国家补贴,https://img.alicdn.com/bao/uploaded/O1CN014GMAeC1YqQksOM9i2_!!6000000003110-0-yinhe.jpg,Apple/苹果,5999,,手机,1,utilitarian_symbolic,实用+symbolic,symbolic,90,工具/科技/创作相关品类；产品可标记专业、创作、技术或玩家身份；标题含专业/旗舰/创作身份线索,raw_catalog
1562988,102386,【需现场签收激活】Apple/苹果 iPhone 16 Pro Max 官方正品5G全新2024新款移动官旗旗舰店全网通手机,https://img.alicdn.com/bao/uploaded/O1CN01KUUVIE1ig213qpWY4_!!6000000004441-0-yinhe.jpg,Apple/苹果,10599,满7999减1400,手机,1,utilitarian_symbolic,实用+symbolic,symbolic,90,工具/科技/创作相关品类；产品可标记专业、创作、技术或玩家身份；标题含专业/旗舰/创作身份线索,raw_catalog
1563143,102386,【政府补贴500元/顺丰速发】Apple/苹果 iPhone 16e 新款 5G手机全新原封国行官方正品旗舰店优惠直降 国补,https://img.alicdn.com/bao/uploaded/O1CN01mCiB7B1XQx9rNecq7_!!6000000002919-0-yinhe.jpg,Apple/苹果,4499,,手机,1,utilitarian_symbolic,实用+symbolic,symbolic,90,工具/科技/创作相关品类；产品可标记专业、创作、技术或玩家身份；标题含专业/旗舰/创作身份线索,raw_catalog
1565591,102386,【至高立减1300/顺丰速发】Apple/苹果 iPhone 16 Pro 新款5G手机 国行原封 官方网正品旗舰店 活动优惠直降,https://img.alicdn.com/bao/uploaded/O1CN01f3PZwg1qKWJPEwcm4_!!6000000005477-2-yinhe.png,Apple/苹果,7799,补贴200元,手机,1,utilitarian_symbolic,实用+symbolic,symbolic,90,工具/科技/创作相关品类；产品可标记专业、创作、技术或玩家身份；标题含专业/旗舰/创作身份线索,raw_catalog
1562421,102386,【政府补贴15%】HUAWEI Mate 70 Pro 优享版 鸿蒙AI红枫原色影像超可靠玄武架构华为鸿蒙智能手机,https://img.alicdn.com/bao/uploaded/O1CN01QaGH5z1azi4JXQ8Vq_!!6000000003401-0-yinhe.jpg,Huawei/华为,6137,补贴62元,手机,1,utilitarian_symbolic,实用+symbolic,symbolic,90,工具/科技/创作相关品类；产品可标记专业、创作、技术或玩家身份；标题含专业/旗舰/创作身份线索,raw_catalog
1562579,102386,【优惠300元 可叠国家补贴】华为nova 14 Pro多焦段红枫质感人像北斗卫星图片消息华为官方旗舰店智能手机,https://img.alicdn.com/bao/uploaded/O1CN01LZlFIh1HCj1rt52p0_!!6000000000722-0-yinhe.jpg,Huawei/华为,3199,满3499减300,手机,1,utilitarian_symbolic,实用+symbolic,symbolic,90,工具/科技/创作相关品类；产品可标记专业、创作、技术或玩家身份；标题含专业/旗舰/创作身份线索,raw_catalog
1562680,102386,【优惠1000元】HUAWEI Mate 70 RS丨 ULTIMATE DESIGN非凡大师华为官方旗舰店鸿蒙智能手机,https://img.alicdn.com/bao/uploaded/O1CN01MU8O1E1vGSuaGuFaC_!!6000000006145-0-yinhe.jpg,Huawei/华为,10999,满10000减1000,手机,1,utilitarian_symbolic,实用+symbolic,symbolic,90,工具/科技/创作相关品类；产品可标记专业、创作、技术或玩家身份；标题含专业/旗舰/创作身份线索,raw_catalog
