strict utilitarian,Experiential-Affective Hedonic,symbolic-aesthetic hedonic
3C数码配件,乐器/吉他/钢琴/配件,ZIPPO/瑞士军刀/眼镜
DIY电脑,书籍/杂志/报纸,个性定制/设计服务/DIY
MP3/MP4/iPod/录音笔,咖啡/麦片/冲饮,住宅家具
OTC药品/国际医药,宠物/宠物食品及用品,女士内衣/男士内衣/家居服
个人护理/保健/按摩器材,居家布艺,女装/女士精品
五金/工具,床上用品,女鞋
享淘卡,影音电器,家居饰品
人工智能服务,成人用品/情趣用品,彩妆/香水/美妆工具
传统滋补营养品,户外/登山/野营/旅行用品,手机
体检/医疗保障卡,景点门票/演艺演出/周边游,手表
保健用品,模玩/动漫/周边/娃圈三坑/桌游,数码相机/单反相机/摄像机
保健食品/膳食营养补充食品,游戏服务,智能设备
全屋定制,玩具/童车/益智/积木/模型,服饰配件/皮带/帽子/围巾
农机/农具/农膜,自行车/骑行装备/零配件,流行男鞋
农用物资,茶,男装
办公设备/耗材/相关服务,运动/瑜伽/健身/球迷用品,童装/婴儿装/亲子装
包装,酒类,童鞋/婴儿鞋/亲子鞋
医疗器械,零食/坚果/特产,箱包皮具/热销女包/男包
厨房/烹饪用具,餐饮美食卡券,美发护发/假发
厨房电器,鲜花速递/花卉仿真/绿植园艺,美容护肤/美体/精油
品牌台机/品牌一体机/服务器,电玩/配件/游戏/攻略,美容美体仪器
商业/办公家具,,节庆用品/礼品
商务/设计服务,,运动包/户外包/配件
基础建材,,运动服/休闲服装
大家电,,运动鞋new
奶粉/辅食/营养品/零食,,珠宝/钻石/翡翠
婴童奶粉,,饰品/流行首饰/时尚饰品新
婴童尿裤,,黄金
婴童洗护,,
婴童用品,,
婴童食品,,
孕妇装/孕产妇用品/营养,,
家庭/个人清洁工具,,
家装主材,,
家装灯饰光源,,
居家日用,,
工业油品/胶粘/化学/实验室用品,,
平板电脑/MID,,
摩托车/装备/配件,,
收纳整理,,
教育培训,,
数字生活,,
文具电教/文化用品/商务用品,,
本地化生活服务,,
标准件/零部件/工业耗材,,
水产肉类/新鲜蔬果/熟食,,
汽车用品/电子/清洗/改装,,
汽车零部件/养护/美容/维保,,
洗护清洁剂/卫生巾/纸/香薰,,
清洗/食品/商业设备,,
生活电器,,
电动车/配件/交通工具,,
电子/电工,,
电子元器件市场,,
电脑硬件/显示器/电脑周边,,
畜牧/养殖物资,,
笔记本电脑,,
粮油调味/速食/干货/烘焙,,
网络设备/网络相关,,
计生用品,,
闪存卡/U盘/存储/移动硬盘,,
隐形眼镜/护理液,,
餐饮具,,
