candidate_rank,id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image,candidate_group,candidate_group_cn,expected_best_image_route,symbolic_hu_overlap,selection_tag,selection_reason
1,1539090,"10,239,480,548",维达抽纸纸巾150抽24包S号整箱实惠装餐巾纸抽卫生纸面巾纸擦手纸,https://img.alicdn.com/bao/uploaded/bao/upload/O1CN011Q8OxA1EomjB5VQgb_!!6000000000399-2-yinhe.png,Vinda/维达,67.9,满29减2,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,,canonical_strict_utilitarian,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。
2,1564218,102386,佳帮手2025新款免手洗平板拖把家用一拖净干湿两用地拖布拖地神器,https://img.alicdn.com/bao/uploaded/O1CN01TdxH6o1ypgANvUOmr_!!6000000006628-0-yinhe.jpg,佳帮手,29.7,,家庭/个人清洁工具,1,strict_utilitarian,严格实用型,functional,,canonical_strict_utilitarian,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。
3,497385,102386,[129W升级款]海尔超薄洗烘套装10kg家用滚筒洗衣机热泵烘干机519W,https://img.alicdn.com/bao/uploaded/O1CN01aCsE1P1CKtzE4wxQ2_!!6000000000063-0-yinhe.jpg,Haier/海尔,3899,补贴300元,大家电,1,strict_utilitarian,严格实用型,functional,,canonical_strict_utilitarian,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。
4,65159,null,惠普178nw彩色激光多功能打印机一体机手机无线wifi可连接网络A4复印扫描家用商务商用办公专用三合一179fnw,https://img.alicdn.com/bao/uploaded/O1CN01MbDWrx1xjtDm3FdKH_!!6000000006480-0-yinhe.jpg,HP/惠普,3299,1件8折,办公设备/耗材/相关服务,1,strict_utilitarian,严格实用型,functional,,canonical_strict_utilitarian,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。
5,497408,"6,102,386",美的电饭煲家用青瓷飞快奶油电饭锅5升容量快煮不粘4-8人官方正品,https://img.alicdn.com/bao/uploaded/O1CN01TvhkpJ1sjpP2aSOpg_!!6000000005803-0-yinhe.jpg,Midea/美的,289,官方立减160元,厨房电器,1,strict_utilitarian,严格实用型,functional,,canonical_strict_utilitarian,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。
6,1552914,104460,美的电热水壶1.7L大容量家用烧水热水壶304不锈钢自动断电电水壶,https://img.alicdn.com/bao/uploaded/O1CN01PshbPj1VE0hzBishX_!!6000000002620-0-yinhe.jpg,Midea/美的,62.8,,厨房电器,1,strict_utilitarian,严格实用型,functional,,canonical_strict_utilitarian,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。
7,39727,"1,002,006,110,046",鱼跃电子血压计充电血压测量仪家用高精准测压仪器正品官方旗舰店,https://img.alicdn.com/bao/uploaded/O1CN01jL3f8X1iaX2jbcQxg_!!6000000004429-0-yinhe.jpg,鱼跃,90,满118减10,医疗器械,1,strict_utilitarian,严格实用型,functional,,canonical_strict_utilitarian,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。
8,74679,null,【618开抢】滴露衣物除菌液杀菌除螨洗衣专用非消毒水衣物消毒液,https://img.alicdn.com/bao/uploaded/O1CN01F19MvL1HXmvkQRSG7_!!6000000000768-0-yinhe.jpg,Dettol/滴露,189.7,满250减26,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,,paper_cleaning_consumables,高频日用/清洁消耗品，购买主要为卫生、清洁或基础照护任务。
9,22482,"10,238,661,305",【王一博同款】得宝品位合YI套组-YIBO联名款抽纸90抽24包/箱*2箱,https://img.alicdn.com/bao/uploaded/O1CN01z1Z4hf1drs5UIdWyk_!!6000000003790-0-yinhe.jpg,Tempo/得宝,170,满400减175,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,,paper_cleaning_consumables,高频日用/清洁消耗品，购买主要为卫生、清洁或基础照护任务。
10,1240853,"6,104,460",洁云平板卫生纸加韧2层200抽(400张)36包方包纸厕纸抽纸整箱草纸,https://img.alicdn.com/bao/uploaded/O1CN01F6sHA51DYTJRDkr4g_!!6000000000228-2-yinhe.png,洁云,169,,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,,paper_cleaning_consumables,高频日用/清洁消耗品，购买主要为卫生、清洁或基础照护任务。
11,1559561,102386,持久留香经典棉麻酵素洗衣液家用护色 THE LAUNDRESS,https://img.alicdn.com/bao/uploaded/O1CN01Fu9KYd23ekneUE7R8_!!6000000007281-0-yinhe.jpg,the Laundress,167,官方8.8折,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,,paper_cleaning_consumables,高频日用/清洁消耗品，购买主要为卫生、清洁或基础照护任务。
