user_selected_order,screenshot_match_note,id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image,candidate_group,candidate_group_cn,expected_best_image_route,candidate_score,selection_reason,source_table
1,Apple/苹果 iPhone 16 Pro Max,1562988,102386,【需现场签收激活】Apple/苹果 iPhone 16 Pro Max 官方正品5G全新2024新款移动官旗旗舰店全网通手机,https://img.alicdn.com/bao/uploaded/O1CN01KUUVIE1ig213qpWY4_!!6000000004441-0-yinhe.jpg,Apple/苹果,10599,满7999减1400,手机,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
2,HUAWEI Mate 70 RS ULTIMATE DESIGN,1562680,102386,【优惠1000元】HUAWEI Mate 70 RS丨 ULTIMATE DESIGN非凡大师华为官方旗舰店鸿蒙智能手机,https://img.alicdn.com/bao/uploaded/O1CN01MU8O1E1vGSuaGuFaC_!!6000000006145-0-yinhe.jpg,Huawei/华为,10999,满10000减1000,手机,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
3,DJI Mavic 3 Pro 御3三摄旗舰航拍机,13915,110046,【政府补贴15%】大疆 DJI Mavic 3 Pro 御3三摄旗舰航拍机  超稳图传高清专业大师版航拍器 大疆无人机,https://img.alicdn.com/bao/uploaded/O1CN01zhxyaX24mpOGm3qmS_!!6000000007434-0-yinhe.jpg,DJI/大疆,15919,,智能设备,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
4,ALIENWARE 外星人 m16R2 游戏本,34773,110046,【国补20%外星人爆款】ALIENWARE外星人m16R2酷睿Ultra游戏本笔记本电脑电竞玩家高考学生电脑办公学习,https://img.alicdn.com/bao/uploaded/O1CN01FZrK411IqOsMNu5py_!!6000000000944-0-yinhe.jpg,Dell/戴尔,13969,,笔记本电脑,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
5,TREK MADONE SL 5 公路自行车,13984,110046,TREK崔克MADONE SL 5碳纤维综合车架气动爬坡竞赛级公路自行车,https://img.alicdn.com/bao/uploaded/O1CN01YmbfI325tz84wvkjA_!!6000000007585-2-yinhe.png,TREK/崔克,20710,,自行车/骑行装备/零配件,1,utilitarian_symbolic,实用+symbolic,symbolic,84,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
6,Garmin 佳明 265 运动手表,65456,,【全国补贴】Garmin佳明265运动手表跑步马拉松越野骑行游泳徒步心率血氧音乐nfc手环智能腕表,https://img.alicdn.com/bao/uploaded/O1CN01Zwd6VX1m1xZQzJSzz_!!6000000004895-0-yinhe.jpg,Garmin/佳明,2980,,智能设备,1,utilitarian_symbolic,实用+symbolic,symbolic,77,工具/科技/运动/创作相关品类；可标记专业、创作、技术、玩家或运动身份；含专业/旗舰/创作/运动身份线索,raw_catalog
7,Baccarat 巴卡拉 EYE 大号矩形花瓶,1547552,102386,【礼物】Baccarat巴卡拉 EYE璀璨系列 大号矩形花瓶,https://img.alicdn.com/bao/uploaded/O1CN01vLmhMk1Dt59T3P6dM_!!6000000000273-0-yinhe.jpg,Baccarat/巴卡拉,16000,,家居饰品,1,hedonic_symbolic,享乐+symbolic,symbolic,86,时尚/珠宝/腕表/美妆/家居审美类品类；品牌具备品味、身份或地位信号；产品本体可表达审美、身份或成就,raw_catalog
8,Chopard 萧邦椭圆快乐钻石腕表,1558428,102386,Chopard萧邦椭圆精钢机械腕表快乐钻石时尚女表款瑞士礼物,https://img.alicdn.com/bao/uploaded/O1CN01rri6X41CZ5yQOkvdT_!!6000000000094-0-yinhe.jpg,Chopard/萧邦,89000,,手表,1,hedonic_symbolic,享乐+symbolic,symbolic,86,时尚/珠宝/腕表/美妆/家居审美类品类；品牌具备品味、身份或地位信号；产品本体可表达审美、身份或成就,raw_catalog
9,De Beers Dewdrop 露珠18K白金戒指,107544,,De Beers 戴比尔斯 Dewdrop 露珠18K白金戒指,https://img.alicdn.com/bao/uploaded/O1CN01GCK9hH28s61biqaqj_!!6000000007987-0-yinhe.jpg,DE BEERS/戴比尔斯,48500,,珠宝/钻石/翡翠,1,hedonic_symbolic,享乐+symbolic,symbolic,86,时尚/珠宝/腕表/美妆/家居审美类品类；品牌具备品味、身份或地位信号；产品本体可表达审美、身份或成就,raw_catalog
10,周大福传承经典福禄葫芦黄金项链,101293,,周大福传承经典福禄葫芦足金黄金项链F234569,https://img.alicdn.com/bao/uploaded/O1CN0193DDKJ1QoaGOzoIj0_!!6000000002023-0-yinhe.jpg,周大福传承,10153.48,1件9.7折,黄金,1,hedonic_symbolic,享乐+symbolic,symbolic,86,时尚/珠宝/腕表/美妆/家居审美类品类；品牌具备品味、身份或地位信号；产品本体可表达审美、身份或成就,raw_catalog
11,BYREDO 柏芮朵莫哈维之影/典藏版香水,65671,,【618抢先购】BYREDO柏芮朵 莫哈维之影/典藏版香水淡 荒漠孤魂,https://img.alicdn.com/bao/uploaded/O1CN01ItI8zw1XzIVuarnCB_!!6000000002994-0-yinhe.jpg,BYREDO/柏芮朵,1580,,彩妆/香水/美妆工具,1,hedonic_symbolic,享乐+symbolic,symbolic,75,时尚/珠宝/腕表/美妆/家居审美类品类；品牌具备品味、身份或地位信号；产品本体可表达审美、身份或成就,raw_catalog
12,Chopard 萧邦雪花快乐钻石腕表,1558431,102386,Chopard萧邦雪花快乐钻石精钢机械腕表白表带时尚手表礼物,https://img.alicdn.com/bao/uploaded/O1CN01wHlAv61dof2cZ9B5w_!!6000000003783-0-yinhe.jpg,Chopard/萧邦,63000,,手表,1,hedonic_symbolic,享乐+symbolic,symbolic,86,时尚/珠宝/腕表/美妆/家居审美类品类；品牌具备品味、身份或地位信号；产品本体可表达审美、身份或成就,raw_catalog
13,日本正负零即热式饮水机,1243559,89512,日本正负零即热式饮水机家用小型桌面恒温热水壶台式热水机饮水器,https://img.alicdn.com/bao/uploaded/O1CN014aLPlR1Rc34f6DybA_!!6000000002131-0-yinhe.jpg,0/加减零,480,满520减400,厨房电器,1,strict_utilitarian_no_symbolic,实用无symbolic,functional,64,实用/清洁/家电/医疗/办公/护理类品类；核心价值是任务完成、清洁、护理或效率；低到中价位降低身份信号,raw_catalog
14,mideer 弥鹿丙烯马克笔,1559501,102386,mideer弥鹿丙烯马克笔直液式小学生美术专用画笔儿童速干绘画收纳包幼儿园生日礼物专用无毒涂鸦彩色笔,https://img.alicdn.com/bao/uploaded/O1CN01sT33op1bao3tSrWwN_!!6000000003482-2-yinhe.png,MiDeer/弥鹿,48.1,满60减17,文具电教/文化用品/商务用品,1,strict_utilitarian_no_symbolic,实用无symbolic,functional,64,实用/清洁/家电/医疗/办公/护理类品类；核心价值是任务完成、清洁、护理或效率；低到中价位降低身份信号,raw_catalog
15,亚德尔拉 yaldara 0酒精无醇葡萄酒,75472,,澳洲原瓶进口亚德尔拉0酒精无醇葡萄酒干红脱醇低糖红酒yaldara,https://img.alicdn.com/bao/uploaded/O1CN01NMYZmh20TM6JFZb7U_!!6000000006850-0-yinhe.jpg,1847莱欧澳洲官方店,89,,酒类,1,hedonic_no_symbolic,享乐无symbolic,experiential,63,食品饮品/香氛/玩乐/听觉/氛围类品类；核心价值是口味、气味、玩乐、听觉、氛围或感官体验；价格区间较少承载身份信号,raw_catalog
16,菲斯奈特金牌起泡葡萄酒200ml,1235178,104460,菲斯奈特金牌起泡葡萄酒200ml*1,https://img.alicdn.com/bao/uploaded/O1CN01sE9KHO1CVR4bvH2oG_!!6000000000086-0-yinhe.jpg,FREIXENET/菲斯奈特,78,,酒类,1,hedonic_no_symbolic,享乐无symbolic,experiential,63,食品饮品/香氛/玩乐/听觉/氛围类品类；核心价值是口味、气味、玩乐、听觉、氛围或感官体验；价格区间较少承载身份信号,raw_catalog
17,比乐蒂熊猫工厂花花联名礼盒摩卡壶,102535,,【官方正品】比乐蒂熊猫工厂花花联名礼盒摩卡壶礼盒咖啡壶套装,https://img.alicdn.com/bao/uploaded/O1CN01mn2KRA1zz7qq0Wae5_!!6000000006784-0-yinhe.jpg,BIALETTI/比乐蒂（餐饮具）,559,官方8.3折,餐饮具,1,hedonic_no_symbolic,享乐无symbolic,experiential,63,食品饮品/香氛/玩乐/听觉/氛围类品类；核心价值是口味、气味、玩乐、听觉、氛围或感官体验；价格区间较少承载身份信号,raw_catalog
