id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image,product_group,product_group_cn,expected_best_image_route,selection_reason,source_candidate_rank,selection_tag,symbolic_hu_overlap
1552914,104460,美的电热水壶1.7L大容量家用烧水热水壶304不锈钢自动断电电水壶,https://img.alicdn.com/bao/uploaded/O1CN01PshbPj1VE0hzBishX_!!6000000002620-0-yinhe.jpg,Midea/美的,62.8,,厨房电器,1,strict_utilitarian,严格实用型,functional,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。,6,canonical_strict_utilitarian,
39727,"1,002,006,110,046",鱼跃电子血压计充电血压测量仪家用高精准测压仪器正品官方旗舰店,https://img.alicdn.com/bao/uploaded/O1CN01jL3f8X1iaX2jbcQxg_!!6000000004429-0-yinhe.jpg,鱼跃,90,满118减10,医疗器械,1,strict_utilitarian,严格实用型,functional,典型任务完成/问题解决型商品，功能利益清晰，身份和感官享乐属性较弱。,7,canonical_strict_utilitarian,
74679,null,【618开抢】滴露衣物除菌液杀菌除螨洗衣专用非消毒水衣物消毒液,https://img.alicdn.com/bao/uploaded/O1CN01F19MvL1HXmvkQRSG7_!!6000000000768-0-yinhe.jpg,Dettol/滴露,189.7,满250减26,洗护清洁剂/卫生巾/纸/香薰,1,strict_utilitarian,严格实用型,functional,高频日用/清洁消耗品，购买主要为卫生、清洁或基础照护任务。,8,paper_cleaning_consumables,
1555799,104460,五月花刮刮桶免手洗平板拖把干湿两用洗脱合一拖布家用墩布懒地拖,https://img.alicdn.com/bao/uploaded/O1CN01cPsRjO1RNqefykgeN_!!6000000002100-0-yinhe.jpg,五月花,199,,家庭/个人清洁工具,1,strict_utilitarian,严格实用型,functional,清洁/收纳工具，核心价值是效率、省力、整洁和任务完成。,18,cleaning_storage_tools,
99330,null,【新品小幸熨】西门子10KG除皱超氧热泵自清洁变频iQ500洗烘套装,https://img.alicdn.com/bao/uploaded/O1CN01nxugfr1kPCeKbH7A0_!!6000000004675-0-yinhe.jpg,SIEMENS/西门子,14390,补贴4500元,大家电,1,strict_utilitarian,严格实用型,functional,大家电，评价重点是性能、容量、能效和耐用性。,22,major_appliances,
29202,102386,【以旧换新补贴】东芝大白桃Pro零嵌制冰双系统一级家用电冰箱483,https://img.alicdn.com/bao/uploaded/O1CN01LGmjlK1Ma9ISvmiVH_!!6000000001450-0-yinhe.jpg,Toshiba/东芝,13199,满9999减5850,大家电,1,strict_utilitarian,严格实用型,functional,大家电，评价重点是性能、容量、能效和耐用性。,27,major_appliances,
75347,null,TIGER/虎牌PIE-A40C无蒸汽VE真空保温电热水瓶家用恒温电烧水壶4L,https://img.alicdn.com/bao/uploaded/O1CN01q2rDvY1bLglUlNmlI_!!6000000003449-0-yinhe.jpg,TIGER/虎牌,2886.47,1件9.11折,厨房电器,1,strict_utilitarian,严格实用型,functional,厨房功能电器，主要服务烹饪、加热、备餐等实用任务。,29,kitchen_appliances,
40633,110046,兄弟DCP-L2508DW黑白激光打印机复印扫描一体机家用小型手机无线wifi网络自动双面打印高速办公专用a4 2548DW,https://img.alicdn.com/bao/uploaded/O1CN01H4FXd41nF4jjsoI2v_!!6000000005059-0-yinhe.jpg,brother/兄弟,1399,官方8.5折,办公设备/耗材/相关服务,1,strict_utilitarian,严格实用型,functional,办公任务设备，核心利益是打印、复印、扫描、整理或工作效率。,38,office_task_equipment,
40315,110046,德国PARI雾化机帕瑞BOY PRO儿童成人老人咳嗽肺炎医用进口雾化器,https://img.alicdn.com/bao/uploaded/O1CN01ZvxOfA1WC0Z8edgZB_!!6000000002751-2-yinhe.png,Pari,3480,满4000减464,医疗器械,1,strict_utilitarian,严格实用型,functional,健康监测/医疗护理相关商品，购买动机以问题解决、可靠性和安全性为主。,41,health_medical_devices,
41213,null,飞利浦电动剃须刀男士纯进口新款S9983/S9973刮胡刀官方旗舰店,https://img.alicdn.com/bao/uploaded/O1CN019TliZ11r6bsihOzGl_!!6000000005582-0-yinhe.jpg,Philips/飞利浦,1389,满10.01减10,个人护理/保健/按摩器材,1,strict_utilitarian,严格实用型,functional,家用/个人/车载/数码功能工具，主要解决烹饪、维修、清洁、记录或维护任务。,46,household_personal_auto_tools,
